epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1360.48,0.62791,1.18203,0.73886,0.88085,0.40418,0.22478,0.19476,0.1641,0.39855,0.22128,0.19052,0.14997,1.08165,2.17977,2.86523,1.11134,6.63716e-05,6.63716e-05,6.63716e-05
114,1372.45,0.62357,1.15625,0.71575,0.87896,0.43953,0.184,0.19374,0.16489,0.4355,0.1836,0.19086,0.15076,1.06133,2.18402,2.80967,1.10965,6.51439e-05,6.51439e-05,6.51439e-05
115,1384.37,0.62498,1.1822,0.70339,0.87459,0.42354,0.18183,0.20504,0.17721,0.41866,0.18052,0.20203,0.16458,1.05233,2.17675,2.86112,1.10236,6.39201e-05,6.39201e-05,6.39201e-05
116,1396.15,0.59892,1.07586,0.67686,0.86269,0.47002,0.18211,0.19683,0.16918,0.46638,0.18122,0.19402,0.1561,1.06868,2.18055,2.8952,1.11516,6.27006e-05,6.27006e-05,6.27006e-05
117,1408.21,0.58977,1.04543,0.6725,0.86197,0.33611,0.22345,0.19763,0.16671,0.33487,0.22189,0.19286,0.15324,1.07364,2.23026,2.86124,1.11677,6.14857e-05,6.14857e-05,6.14857e-05
118,1420.21,0.61442,1.17216,0.70594,0.87605,0.3484,0.20127,0.19488,0.16497,0.3468,0.1994,0.19111,0.15385,1.06351,2.17654,2.83396,1.10027,6.02756e-05,6.02756e-05,6.02756e-05
119,1432.26,0.62851,1.12765,0.72039,0.88325,0.4278,0.20338,0.19762,0.16752,0.42544,0.20207,0.19533,0.1567,1.06092,2.1793,2.80639,1.10743,5.90708e-05,5.90708e-05,5.90708e-05
120,1444.4,0.61904,1.1593,0.71962,0.87456,0.3448,0.23602,0.19841,0.16795,0.34201,0.23329,0.19518,0.15585,1.05942,2.17648,2.80329,1.11162,5.78715e-05,5.78715e-05,5.78715e-05
121,1456.37,0.61494,1.17489,0.71559,0.87553,0.38424,0.24509,0.20362,0.17324,0.38288,0.2442,0.20122,0.15843,1.06023,2.14496,2.82737,1.11005,5.66779e-05,5.66779e-05,5.66779e-05
122,1468.31,0.61476,1.12628,0.70647,0.86397,0.46731,0.20269,0.21224,0.17629,0.46722,0.20257,0.20978,0.16454,1.06658,2.1812,2.84048,1.11311,5.54904e-05,5.54904e-05,5.54904e-05
123,1480.3,0.61972,1.1289,0.7071,0.87421,0.41458,0.22349,0.21726,0.18033,0.43863,0.20437,0.21512,0.16881,1.06047,2.18466,2.80481,1.10785,5.43093e-05,5.43093e-05,5.43093e-05
